Quantitation Report - 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
MS Integ Params:,,Known_IPLs_Marine_11_14_2018,,,,Quant Time:,11/16/2018 2:27:25 PM,,,,,,
Quant Method:,,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,Data File:,QEF1622_OG29_T3-750-0-3_SC,,,,,,
Title:,,Assay name,,,,Acq On:,7/31/2018 10:00:17 PM,,,,,,
Last Update:,,11/16/2018 2:22:51 PM,,,,Sample:,,,,,,,
Data Acq Method:,,IPL_BEHamide_FullMS,,,,Comment:,,,,,,,
Operator:,,Thermo,,,,Vial:,RB8,,,,,,
Instrument:,,QEFocus,,,,Multiplr:,1.000,,,,,,
Response Via:,,Known_IPLs_Marine_11_14_2018.calx,,,,Quant Results File:,C:\TraceFinderData\4.0\Projects\IPLs\Known_IPLs_Marine_11_14_2018\Data\QEF1622_OG29_T3-750-0-3_SC.rsx,,,,,, 
,,,,,,,,,,,,,
Internal Standards,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Surrogates,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),Spike Amt,Recovery,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Compounds,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
1,ARCHAEOL,,N/F,653.68062,N/F,N/F,ng,N/F,,,,FALSE,
1,,,N/F,670.70717,N/F,,,N/F,,,,FALSE,
1,,,N/F,675.66257,N/F,,,N/F,,,,FALSE,
2,MGDG-36:5,,2.64,777.55112,3325,N/A,,0.01,,,,FALSE,
2,,,2.66,794.57767,,,,0.03,,,,FALSE,
2,,,N/F,799.53307,N/F,,,N/F,,,,FALSE,
3,MGDG-19:2,,N/F,549.36332,N/F,N/A,,N/F,,,,FALSE,
3,,,N/F,566.38987,N/F,,,N/F,,,,FALSE,
3,,,2.88,571.34527,,,,0.05,,,,FALSE,
3,,,N/F,549.36332,N/F,,,N/F,,,,FALSE,
3,,,N/F,566.38987,N/F,,,N/F,,,,FALSE,
3,,,N/F,571.34527,N/F,,,N/F,,,,FALSE,
4,HPH-GDGT-1,,N/F,1703.37117,N/F,N/F,,N/F,,,,FALSE,
4,,,N/F,1720.39772,N/F,,,N/F,,,,FALSE,
4,,,N/F,1725.35312,N/F,,,N/F,,,,FALSE,
5,Gly-PDGT-0,,N/F,1491.39897,N/F,N/F,,N/F,,,,FALSE,
5,,,N/F,1508.42552,N/F,,,N/F,,,,FALSE,
5,,,N/F,1513.38091,N/F,,,N/F,,,,FALSE,
6,MGDG,,N/F,775.53547,N/F,N/A,,N/F,,,,FALSE,
6,,,3.22,792.56202,,,,-0.03,,,,FALSE,
6,,,N/F,797.51742,N/F,,,N/F,,,,FALSE,
7,MGDG-34:1,,N/F,772.59332,N/F,N/A,,N/F,,,,FALSE,
7,,,N/F,755.56677,N/F,,,N/F,,,,FALSE,
7,,,3.37,777.54872,,,,0.08,,,,FALSE,
8,Gly-GDGT-4,,N/F,1455.30507,N/F,N/F,,N/F,,,,FALSE,
8,,,N/F,1472.33162,N/F,,,N/F,,,,FALSE,
8,,,N/F,1477.28701,N/F,,,N/F,,,,FALSE,
9,MGDG-36:8,,N/F,771.50417,N/F,N/F,,N/F,,,,FALSE,
9,,,N/F,788.53072,N/F,,,N/F,,,,FALSE,
9,,,N/F,793.48612,N/F,,,N/F,,,,FALSE,
10,Gly-GDGT-0,,N/F,1463.36767,N/F,N/A,,N/F,,,,FALSE,
10,,,3.28,1480.39422,,,,-0.08,,,,FALSE,
10,,,N/F,1485.34961,N/F,,,N/F,,,,FALSE,
11,MGDG-36:9,,N/F,769.48852,N/F,N/F,,N/F,,,,FALSE,
11,,,N/F,786.51507,N/F,,,N/F,,,,FALSE,
11,,,N/F,791.47047,N/F,,,N/F,,,,FALSE,
12,MGDG-30:1,,N/F,718.54637,N/F,N/A,,N/F,,,,FALSE,
12,,,N/F,723.50177,N/F,,,N/F,,,,FALSE,
12,,,3.33,701.51982,,,,-0.07,,,,FALSE,
13,MGDG-36:10,,N/F,784.49942,N/F,N/F,,N/F,,,,FALSE,
13,,,N/F,767.47287,N/F,,,N/F,,,,FALSE,
13,,,N/F,789.45482,N/F,,,N/F,,,,FALSE,
14,Gly-GDGT-2,,N/F,1459.33637,N/F,N/F,,N/F,,,,FALSE,
14,,,N/F,1476.36292,N/F,,,N/F,,,,FALSE,
14,,,N/F,1481.31831,N/F,,,N/F,,,,FALSE,
15,Gly-GDGT-1,,N/F,1461.35202,N/F,N/F,,N/F,,,,FALSE,
15,,,N/F,1478.37857,N/F,,,N/F,,,,FALSE,
15,,,N/F,1483.33396,N/F,,,N/F,,,,FALSE,
16,MGDG-28:0,,3.49,692.53072,362014,N/A,,0.02,,,,FALSE,
16,,,3.49,697.48612,,,,0.02,,,,FALSE,
16,,,3.52,675.50417,,,,0.05,,,,FALSE,
17,Gly-OH-GDGT-1,,N/F,1477.34693,N/F,N/F,,N/F,,,,FALSE,
17,,,N/F,1494.37348,N/F,,,N/F,,,,FALSE,
17,,,N/F,1499.32888,N/F,,,N/F,,,,FALSE,
18,MGDG-34:5,,N/F,747.50417,N/F,N/A,,N/F,,,,FALSE,
18,,,3.46,764.53072,,,,-0.06,,,,FALSE,
18,,,N/F,769.48612,N/F,,,N/F,,,,FALSE,
19,MGDG-36:4,,N/F,779.56677,N/F,N/A,,N/F,,,,FALSE,
19,,,3.53,796.59332,,,,0.01,,,,FALSE,
19,,,N/F,801.54872,N/F,,,N/F,,,,FALSE,
20,MGDG-32:1,,3.53,749.51742,1374,N/A,,0.00,,,,FALSE,
20,,,3.52,727.53547,,,,-0.01,,,,FALSE,
20,,,N/F,744.56202,N/F,,,N/F,,,,FALSE,
21,MGDG-34:7,,N/F,743.47287,N/F,N/F,,N/F,,,,FALSE,
21,,,N/F,760.49942,N/F,,,N/F,,,,FALSE,
21,,,N/F,765.45482,N/F,,,N/F,,,,FALSE,
22,MGDG-36:2,,3.62,800.62462,5367,N/A,,0.08,,,,FALSE,
22,,,3.60,805.58002,,,,0.06,,,,FALSE,
22,,,N/F,783.59808,N/F,,,N/F,,,,FALSE,
23,MGDG-37:3,,N/F,814.64027,N/F,N/F,,N/F,,,,FALSE,
23,,,N/F,797.61373,N/F,,,N/F,,,,FALSE,
23,,,N/F,819.59567,N/F,,,N/F,,,,FALSE,
24,MGDG-32:2,,N/F,742.54637,N/F,N/F,,N/F,,,,FALSE,
24,,,N/F,725.51982,N/F,,,N/F,,,,FALSE,
24,,,N/F,747.50177,N/F,,,N/F,,,,FALSE,
25,HPH-GDGT-5,,N/F,1695.30857,N/F,N/F,,N/F,,,,FALSE,
25,,,N/F,1712.33512,N/F,,,N/F,,,,FALSE,
25,,,N/F,1717.29052,N/F,,,N/F,,,,FALSE,
26,MGDG-33:0,,N/F,760.59332,N/F,N/F,,N/F,,,,FALSE,
26,,,N/F,743.56677,N/F,,,N/F,,,,FALSE,
26,,,N/F,765.54872,N/F,,,N/F,,,,FALSE,
27,MGDG-31:0,,N/F,717.55112,N/F,N/A,,N/F,,,,FALSE,
27,,,N/F,734.57767,N/F,,,N/F,,,,FALSE,
27,,,3.60,739.53307,,,,-0.03,,,,FALSE,
28,MGDG-32:0,,N/F,729.55112,N/F,N/A,,N/F,,,,FALSE,
28,,,N/F,746.57767,N/F,,,N/F,,,,FALSE,
28,,,3.55,751.53307,,,,-0.08,,,,FALSE,
29,MGDG-31:1,,N/F,715.53547,N/F,N/A,,N/F,,,,FALSE,
29,,,N/F,732.56202,N/F,,,N/F,,,,FALSE,
29,,,3.71,737.51742,,,,0.07,,,,FALSE,
30,MGDG-36:0,,N/F,787.62938,N/F,N/F,,N/F,,,,FALSE,
30,,,N/F,804.65592,N/F,,,N/F,,,,FALSE,
30,,,N/F,809.61132,N/F,,,N/F,,,,FALSE,
31,MGDG-28:1,,N/F,673.48852,N/F,N/F,,N/F,,,,FALSE,
31,,,N/F,690.51507,N/F,,,N/F,,,,FALSE,
31,,,N/F,695.47047,N/F,,,N/F,,,,FALSE,
32,Gly-GDGT-3,,N/F,1457.32072,N/F,N/F,,N/F,,,,FALSE,
32,,,N/F,1474.34727,N/F,,,N/F,,,,FALSE,
32,,,N/F,1479.30266,N/F,,,N/F,,,,FALSE,
33,MGDG-30:2,,3.71,699.50417,551,N/A,,0.03,,,,FALSE,
33,,,N/F,716.53072,N/F,,,N/F,,,,FALSE,
33,,,N/F,721.48612,N/F,,,N/F,,,,FALSE,
